"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
10854,1987,"CA","USF U.S. Forest Service","BDF","JEEP","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1867.389,NA,NA,NA,"00000000",NA,"1980-1989",11108011.4453125,14192.4017476854,-117.177884457746,34.3271456271004,NA
10856,1987,"CA","USF U.S. Forest Service","SHF"," ","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",1733.999,NA,NA,NA,"00000221",NA,"1980-1989",12399412.6835938,22750.7091955758,-122.768453030964,41.1816551714157,NA
10857,1987,"CA","CDF CAL FIRE (State)","MMU","MERCED FALLS","00001270",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1722.568,NA,NA,NA,"00000225",NA,"1980-1989",11122417.7890625,14409.3150126154,-120.293688937454,37.5933533509049,NA
10866,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1300.417,NA,NA,NA,"00000000",NA,"1980-1989",7658176.8515625,11529.5257923637,-116.708174111513,33.8987627486869,NA
10877,1987,"CA","BLM Bureau of Land Management","NOD"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1071.081,NA,NA,NA,"0000D315",NA,"1980-1989",7531838.98828125,13906.8612194339,-120.450268224853,40.6235406266435,NA
10883,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",951.8984,NA,NA,NA,"00000000",NA,"1980-1989",5652477.140625,9355.40024192758,-117.445373400161,34.2536164641779,NA
10887,1987,"CA","BLM Bureau of Land Management","NOD"," ","00000000",NA,NA,"Unknown/Unidentified","Unknown","Suppression (Wildfire)",903.9213,NA,NA,NA,"0000D430",NA,"1980-1989",6375358.72265625,16262.7781250789,-120.50518953118,40.7237602104011,NA
10890,1987,"CA","CDF CAL FIRE (State)","RRU","RECHE","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",862.7175,NA,NA,NA,"00000000",NA,"1980-1989",5077270.5390625,11184.7700701151,-116.985339631899,33.8708989820233,NA
10892,1987,"CA","USF U.S. Forest Service","LNF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",832.1506,NA,NA,NA,"00000152",NA,"1980-1989",5833836.28515625,10634.0296447011,-121.328440475902,40.5205733078075,NA
10897,1987,"CA","NPS National Park Service","LNP","SNAG COMPLEX",NA,NA,NA,"Lightning","Hand-drawn","Suppression (Wildfire)",720.4342,"Merged PUPPY & STACY wildfires","SNAG COMPLEX",NA,"87-29","00000000","1980-1989",5049710.625,13646.614470225,-121.322571888491,40.5143355291862,NA
10912,1987,"CA","USF U.S. Forest Service","SHF"," ","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",468.7148,NA,NA,NA,"00000203",NA,"1980-1989",3334086.1484375,8579.31857592443,-121.768146442589,41.0075869683075,NA
10913,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",465.1608,NA,NA,NA,"00000000",NA,"1980-1989",2767533.43359375,6960.10227739358,-117.438840256489,34.3357585663701,NA
10929,1987,"CA","USF U.S. Forest Service","SHF"," ","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",370.447,NA,NA,NA,"00000216",NA,"1980-1989",2651815.76953125,10658.4048377903,-122.685273192681,41.2169777415664,NA
10930,1987,"CA","CDF CAL FIRE (State)","MMU","BRILEBURG","00002076",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",368.5139,NA,NA,NA,"00000409",NA,"1980-1989",2381177.40234375,6590.80201483581,-119.94848364446,37.6205726345624,NA
10934,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",335.1448,NA,NA,NA,"00000000",NA,"1980-1989",1991371.98046875,5914.34415863205,-116.795197303924,34.2801714627377,NA
10939,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",292.7884,NA,NA,NA,"00000000",NA,"1980-1989",1732601.83203125,5422.84750763361,-117.001615461584,34.1062337650655,NA
10941,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",288.4902,NA,NA,NA,"00000000",NA,"1980-1989",1715115.51953125,5918.78734579248,-117.202467259285,34.3038340479704,NA
10946,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",247.1688,NA,NA,NA,"00000000",NA,"1980-1989",1466657.64453125,5362.99448028416,-117.446155036162,34.2229830354633,NA
10962,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",184.5135,NA,NA,NA,"00000000",NA,"1980-1989",1098186.83203125,4194.64249020724,-116.996678029827,34.3511978637111,NA
10969,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",170.7766,NA,NA,NA,"00000000",NA,"1980-1989",1013889.1953125,4379.3383882355,-117.494697850774,34.2452021590633,NA
10971,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",165.2905,NA,NA,NA,"00000000",NA,"1980-1989",980013.70703125,4327.15812779175,-117.280532811137,34.1886244302801,NA
10981,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",131.052,NA,NA,NA,"00000000",NA,"1980-1989",779478.6875,3620.46883823526,-117.50408344049,34.3231722343491,NA
10996,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",100.167,NA,NA,NA,"00000000",NA,"1980-1989",594988.109375,3191.42454894463,-117.521646941779,34.2668447684493,NA
11004,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",74.96023,NA,NA,NA,"00000000",NA,"1980-1989",438764.55859375,2684.68531877035,-116.514995519507,33.6356504270478,NA
11005,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",74.19938,NA,NA,NA,"00000000",NA,"1980-1989",439538.3671875,2429.2464845525,-117.546055741134,34.1505864594239,NA
11011,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",62.39503,NA,NA,NA,"00000000",NA,"1980-1989",371254.96484375,2352.41649973637,-117.492755258505,34.3389391907054,NA
11015,1987,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",57.11383,NA,NA,NA,"00000000",NA,"1980-1989",337243.828125,2711.9189650129,-117.279768194391,34.0134521961707,NA
11017,1987,"CA","NPS National Park Service","YNP"," ","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",55.53209,NA,NA,NA,"00000057",NA,"1980-1989",361094.8203125,2705.70822164706,-119.793568056323,37.8560194878942,NA
11026,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",40.89236,NA,NA,NA,"00000000",NA,"1980-1989",239241.99609375,1792.68353307036,-116.532891417231,33.6150786582588,NA
11029,1987,"CA","BLM Bureau of Land Management","NOD"," ","00000000",NA,NA,"Unknown/Unidentified","Unknown","Suppression (Wildfire)",38.82423,NA,NA,NA,"0000D436",NA,"1980-1989",272738.1171875,2503.35632707466,-120.40377195388,40.5897642013136,NA
11033,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",33.65345,NA,NA,NA,"00000000",NA,"1980-1989",199982.96875,1665.80293916663,-117.464998896621,34.2844162246943,NA
11046,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",19.46125,NA,NA,NA,"00000000",NA,"1980-1989",113956.97265625,1261.24192333933,-116.549873200976,33.6526383349071,NA
11048,1987,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",17.58369,NA,NA,NA,"00000000",NA,"1980-1989",104011.37890625,1238.44958131361,-117.03553796712,34.0891260696845,NA
11057,1987,"CA","USF U.S. Forest Service","TMU"," ","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",11.86507,NA,NA,NA,"00000004",NA,"1980-1989",79194.8828125,1148.83163501944,-120.007189318871,38.8106981870269,NA
11063,1987,"CA","NPS National Park Service","YNP"," ","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",9.935575,NA,NA,NA,"00000149",NA,"1980-1989",64375.90625,900.647088961991,-119.769015355823,37.7233075077804,NA
10936,1987,"CA","CDF CAL FIRE (State)","RRU","RIVERSIDE","00004126",1987-02-07 08:00:00,NA,"Playing with Fire",NA,"Suppression (Wildfire)",330.1902,NA,NA,NA,"00000161",NA,"1980-1989",1933584.0390625,7207.75751944122,-117.40223156289,33.6554807649196,13.764306640625
11054,1987,"CA","USF U.S. Forest Service","SNF","HITES","00000000",1987-02-07 08:00:00,1987-02-07 08:00:00,"Debris","Unknown","Suppression (Wildfire)",13.89355,NA,NA,NA,"00000002",NA,"1980-1989",89107.84765625,1148.019419324,-119.041742421132,37.3398925412581,-4.77182617187498
11077,1987,"CA","NPS National Park Service","CNP","E TWIN HARBOR","00000000",1987-02-25 08:00:00,1987-02-25 08:00:00,"Lightning","Photo Interpretation",NA,2.245288,"Fire documented in TNC fire history for Santa Cruz Island. Should add to SACS",NA,NA,"00000000",NA,"1980-1989",13265.74609375,459.486906092316,-119.715909419532,34.0388074637087,9.64443359375002
10904,1987,"CA","CDF CAL FIRE (State)","BDU","CASHBAUGH","00000031",1987-03-04 08:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",599.9213,NA,NA,NA,"00000010",NA,"1980-1989",3852672.29296875,10141.4621162832,-118.390646812696,37.3889973656665,3.18715820312502
10823,1987,"CA","CDF CAL FIRE (State)","SLU","SLU-730","00000730",1987-04-19 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",7733.198,NA,NA,NA,"00000109",NA,"1980-1989",46769353.3164062,40624.588388886,-120.552324959817,35.0189477200247,12.78701171875
10988,1987,"CA","CCO Contract County","LAC"," ","00000000",1987-04-19 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",118.9447,NA,NA,NA,"00000000",NA,"1980-1989",710511.5859375,4065.94907087213,-118.621361488969,34.5044640811044,10.46279296875
11070,1987,"CA","CCO Contract County","LAC"," ","00000000",1987-04-21 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",7.755604,NA,NA,NA,"00000000",NA,"1980-1989",46288.1640625,1209.72985142838,-118.666678622814,34.4684293184077,16.380029296875
10926,1987,"CA","USF U.S. Forest Service","CNF","ASSIST #38","00000000",1987-04-22 07:00:00,NA,"Miscellaneous",NA,"Suppression (Wildfire)",379.6063,NA,NA,NA,"00000001",NA,"1980-1989",2184570.58984375,8352.78510697639,-116.996856600158,32.8876820029177,19.949853515625
11050,1987,"CA","USF U.S. Forest Service","ENF"," ","00000000",1987-04-22 07:00:00,1987-04-22 07:00:00,"Debris","Unknown","Suppression (Wildfire)",16.90359,NA,NA,NA,"00000006",NA,"1980-1989",112741.1875,1210.49045851586,-120.377127902046,38.7839740921033,8.34731445312502
11076,1987,"CA","USF U.S. Forest Service","SRF","LILLY PAD TEN","00000000",1987-04-24 07:00:00,1987-04-25 07:00:00,"Miscellaneous","Unknown","Suppression (Wildfire)",3.982959,NA,NA,NA,"00000001",NA,"1980-1989",28608.70703125,600.354227389718,-123.666913991161,41.3286897915478,8.04995117187502
11045,1987,"CA","CCO Contract County","LAC"," ","00000000",1987-04-25 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",19.88864,NA,NA,NA,"00000000",NA,"1980-1989",118863.61328125,1955.95110400874,-118.409826386707,34.5255282649244,16.350244140625
11066,1987,"CA","CCO Contract County","LAC"," ","00000000",1987-04-26 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",9.064775,NA,NA,NA,"00000000",NA,"1980-1989",54315.33984375,925.198796880204,-118.208596701675,34.6338461346331,17.327294921875
11016,1987,"CA","CCO Contract County","LAC"," ","00000000",1987-05-04 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",56.92053,NA,NA,NA,"00000000",NA,"1980-1989",337530.23828125,3080.02671907226,-118.287073681162,34.1944537919249,18.91689453125
10841,1987,"CA","CDF CAL FIRE (State)","SLU","SLU-0864","00000864",1987-05-05 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",3552.104,NA,NA,NA,"00000139",NA,"1980-1989",21493356.1289062,25014.7937245252,-120.346866122004,35.0406396427048,17.405908203125
10956,1987,"CA","CDF CAL FIRE (State)","RRU","RECHE","00013806",1987-05-06 07:00:00,NA,"Miscellaneous",NA,"Suppression (Wildfire)",200.8764,NA,NA,NA,"00000591",NA,"1980-1989",1185007.86328125,5012.75148796904,-117.212471286393,33.9729377253633,18.612939453125
10959,1987,"CA","USF U.S. Forest Service","CNF","MATEO","00000000",1987-05-06 07:00:00,1987-05-06 07:00:00,"Miscellaneous","Unknown","Suppression (Wildfire)",195.6918,NA,NA,NA,"00000022",NA,"1980-1989",1141313.51171875,5380.72216955788,-117.471379549237,33.4782303473535,18.333154296875
10867,1987,"CA","CDF CAL FIRE (State)","SCU","GERBER","00000791",1987-05-07 07:00:00,NA,"Equipment Use",NA,"Suppression (Wildfire)",1241.098,NA,NA,NA,"00000063",NA,"1980-1989",7996097.1796875,11863.2881449881,-121.356540425206,37.5109442500989,23.153955078125
10874,1987,"CA","CDF CAL FIRE (State)","RRU","WINCHESTER#1","00013938",1987-05-07 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1097.662,NA,NA,NA,"00000605",NA,"1980-1989",6422518.63671875,11937.0659973087,-117.043876696054,33.6192554472772,18.8158203125
10831,1987,"CA","USF U.S. Forest Service","STF","CALF",NA,1987-05-08 07:00:00,1987-05-08 07:00:00,"Lightning","Unknown","Suppression (Wildfire)",4929.293,"20090305",NA,NA,"00000026",NA,"1980-1989",31934971.734375,27715.8148914133,-119.858222620513,37.7191835174826,13.1830078125
10953,1987,"CA","BLM Bureau of Land Management","BBD","LIGHTNING 2","00000000",1987-05-08 07:00:00,1987-05-08 07:00:00,"Lightning","Unknown","Suppression (Wildfire)",211.306,NA,NA,NA,"0000D010",NA,"1980-1989",1325269.01953125,8993.01614100295,-120.497584193116,36.4796989245304,23.8255859375
10950,1987,"CA","CDF CAL FIRE (State)","SCU","GILL","00000839",1987-05-09 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",223.9084,NA,NA,NA,"00000074",NA,"1980-1989",1431379.3359375,5455.97453690296,-121.325348670913,37.2159340375012,20.151025390625
