"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
11682,1983,"CA","CDF CAL FIRE (State)","LNU","HOWELL MTN.","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",2353.552,NA,NA,NA,"00000251",NA,"1980-1989",15589017.4296875,23014.3327389945,-122.421642895761,38.533845591306,NA
11738,1983,"CA","USF U.S. Forest Service","INF"," ","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",265.9426,NA,NA,NA,"00005315",NA,"1980-1989",1711600.765625,6135.86225530664,-118.586250564396,37.471410166769,NA
11739,1983,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",263.5775,NA,NA,NA,"00000000",NA,"1980-1989",1553333.83203125,6201.56417310892,-117.009643282481,33.929837686342,NA
11764,1983,"CA","NPS National Park Service","YNP","","00000021",NA,NA,"Lightning","Unknown","Resource Benefit (Wildland Fire Use)",151.0011,NA,NA,NA,"00000021",NA,"1980-1989",977291.76953125,5639.61915695093,-119.598810334815,37.6814596547729,NA
11772,1983,"CA","CCO Contract County","LAC"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",122.519,NA,NA,NA,"00000000",NA,"1980-1989",736574.50390625,3524.4362784771,-118.241535590992,34.7730177728291,NA
11779,1983,"CA","USF U.S. Forest Service","CNF"," ","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",109.3601,NA,NA,NA,"00000012",NA,"1980-1989",627681.84765625,3175.05529669764,-116.886628921638,32.7687453768186,NA
11790,1983,"CA","CCO Contract County","MRN","HILL RANCH","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",63.2559,NA,NA,NA,"00000000",NA,"1980-1989",413553.88671875,5968.63627656645,-122.591630732684,38.0567418599611,NA
11796,1983,"CA","USF U.S. Forest Service","CNF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",55.6587,NA,NA,NA,"00000004",NA,"1980-1989",319463.98046875,2701.98919231785,-116.891658209539,32.7696071978863,NA
11800,1983,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",49.11655,NA,NA,NA,"00000000",NA,"1980-1989",288461.8203125,2137.87024261841,-116.905671782707,33.7813573621572,NA
11820,1983,"CA","NPS National Park Service","YNP","STANIS #2",NA,NA,NA,"Miscellaneous","Unknown","Suppression (Wildfire)",11.77354,"20090305",NA,NA,"00000027",NA,"1980-1989",76631.5390625,1357.94647824891,-119.846724923857,37.892217315769,NA
11821,1983,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",9.622749,NA,NA,NA,"00000000",NA,"1980-1989",56619.9375,874.978372513817,-116.57818310824,33.8618191492713,NA
11822,1983,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",9.535072,NA,NA,NA,"00000000",NA,"1980-1989",56018.953125,1018.74730268394,-116.924185875389,33.796331321687,NA
11694,1983,"CA","CDF CAL FIRE (State)","BDU","WILDWASH","00004232",1983-05-21 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1153.327,NA,NA,NA,"00010343",NA,"1980-1989",6923734.7265625,16688.7731432809,-117.176737781769,34.7130061066985,19.4916015625
11813,1983,"CA","USF U.S. Forest Service","MNF"," ","00000000",1983-05-23 07:00:00,1983-05-26 07:00:00,"Miscellaneous","Unknown","Suppression (Wildfire)",23.05305,NA,NA,NA,"00000002",NA,"1980-1989",158356.08203125,1955.13987887969,-122.864992492849,39.823952512332,15.205712890625
11677,1983,"CA","USF U.S. Forest Service","BDF","SNOW CREEK","00000000",1983-05-25 07:00:00,1983-05-28 07:00:00,"Equipment Use","Unknown","Suppression (Wildfire)",3969.793,NA,NA,NA,"00000010",NA,"1980-1989",23366664.7460938,25993.5880687933,-116.641084163334,33.8775567893406,18.893212890625
11725,1983,"CA","CDF CAL FIRE (State)","BEU","PARSISSONS","00000617",1983-05-26 07:00:00,NA,"Equipment Use",NA,"Suppression (Wildfire)",340.4681,NA,NA,NA,"00000085",NA,"1980-1989",2139796.640625,7462.93329191548,-121.405829375877,36.5609427801125,14.6322265625
11770,1983,"CA","CCO Contract County","LAC","SIXTY SIX","00961174",1983-05-26 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",128.723,NA,NA,NA,"00000383",NA,"1980-1989",773489.34765625,3822.82637556009,-118.010464120742,34.7524448072086,23.240625
11782,1983,"CA","USF U.S. Forest Service","SQF"," ","00000000",1983-05-28 07:00:00,1983-05-29 07:00:00,"Miscellaneous","Unknown","Suppression (Wildfire)",105.2564,NA,NA,NA,"00000005",NA,"1980-1989",649110.1875,4163.46765431893,-118.448983103731,35.8126155420157,20.34365234375
11824,1983,"CA","USF U.S. Forest Service","PNF"," ","00000000",1983-05-29 07:00:00,1983-05-30 07:00:00,"Lightning","Unknown","Suppression (Wildfire)",7.406796,NA,NA,NA,"00000007",NA,"1980-1989",51092.1171875,1015.05615096367,-121.077806583296,39.968481777516,18.47060546875
11742,1983,"CA","CCO Contract County","LAC"," ","00000000",1983-05-30 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",254.26,NA,NA,NA,"00000000",NA,"1980-1989",1524088.98046875,5455.23893236838,-117.834316341125,34.6495112076647,22.153466796875
11794,1983,"CA","CCO Contract County","LAC","THE MURPHY","00961174",1983-06-02 07:00:00,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",58.47364,NA,NA,NA,"00003383",NA,"1980-1989",350950.48828125,2890.85055369421,-118.018765745366,34.7031720636481,12.40517578125
