"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
10191,1990,"CA","BLM Bureau of Land Management","NOD"," ","00000000",NA,NA,"Unknown/Unidentified","Unknown","Suppression (Wildfire)",14471.32,NA,NA,NA,"0000D593",NA,"1990-1999",101978259.628906,49551.7083385998,-120.188106705828,40.694787159077,NA
10192,1990,"CA","BLM Bureau of Land Management","NOD"," ","00000000",NA,NA,"Unknown/Unidentified","Unknown","Suppression (Wildfire)",8504.438,NA,NA,NA,"0000D592",NA,"1990-1999",60109538.7460938,37528.1601646245,-120.427300891695,40.7949900380645,NA
10193,1990,"CA","CCO Contract County","ORC","YORBA","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",7883.514,NA,NA,NA,"00000000",NA,"1990-1999",46461376.1054688,37128.5489576281,-117.730156759712,33.9313838819677,NA
10215,1990,"CA","CDF CAL FIRE (State)","LNU","EAGLE","00002661",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1921.793,NA,NA,NA,"00000216",NA,"1990-1999",12900282.0820312,19483.7105397302,-122.47251923823,39.0138487118331,NA
10223,1990,"CA","USF U.S. Forest Service","LPF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",934.3168,NA,NA,NA,"00000201",NA,"1990-1999",5586354.35546875,9167.63155328047,-119.73287630953,34.5439543512792,NA
10227,1990,"CA","CDF CAL FIRE (State)","RRU","CALIFORNIA","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",728.298,NA,NA,NA,"00000000",NA,"1990-1999",4268408.01953125,10513.8860768941,-117.03868186363,33.6912583908545,NA
10228,1990,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",718.3991,NA,NA,NA,"00000000",NA,"1990-1999",4260804.42578125,13359.0589580989,-117.473725322639,34.2024904299713,NA
10231,1990,"CA","NPS National Park Service","YNP"," ","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",570.0374,NA,NA,NA,"00000080",NA,"1990-1999",3701620.26171875,10939.7379184156,-119.828135314449,37.8055905347585,NA
10238,1990,"CA","CDF CAL FIRE (State)","BEU","SAN JUAN CANYON",NA,NA,NA,"Vehicle","Hand-drawn","Suppression (Wildfire)",514.8445,"reported by Chopper Snyder ",NA,NA,NA,NA,"1990-1999",3257133.6953125,10390.4900028398,-121.50866156265,36.8166734566849,NA
10241,1990,"CA","USF U.S. Forest Service","LPF"," ","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",474.7327,NA,NA,NA,"00000005",NA,"1990-1999",2848745.55859375,8014.54011898489,-118.901711304061,34.6953599631913,NA
