"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
9914,1992,"CA","CDF CAL FIRE (State)","LNU","LIGHTENING","00002356",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",2928.408,NA,NA,NA,"00000196",NA,"1990-1999",19767660.1640625,21315.4570954737,-122.32277623778,39.2126931060368,NA
9917,1992,"CA","CDF CAL FIRE (State)","MMU","LA PALOMA","00007798",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",2517.423,NA,NA,NA,"00000483",NA,"1990-1999",16172528.5234375,25981.1898254871,-120.307837690621,37.4025078244428,NA
9918,1992,"CA","USF U.S. Forest Service","LPF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",2458.407,NA,NA,NA,"00000997",NA,"1990-1999",15219411.9257812,18355.7163193126,-121.34615910761,35.9666086810053,NA
9919,1992,"CA","CDF CAL FIRE (State)","MMU","SNELLING","00007706",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",2423.981,NA,NA,NA,"00000000",NA,"1990-1999",15592757.0820312,19228.1997610827,-120.370141043833,37.4522272307966,NA
9923,1992,"CA","CDF CAL FIRE (State)","LNU","BORAX","00003535",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1867.041,NA,NA,NA,"00010252",NA,"1990-1999",12522748.4101562,19613.7866946038,-122.650348153852,38.9853810506645,NA
9930,1992,"CA","USF U.S. Forest Service","LPF"," ","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",1279.725,NA,NA,NA,"00000032",NA,"1990-1999",7983654.0703125,12325.9108103359,-121.661844096666,36.2712878855269,NA
9933,1992,"CA","CDF CAL FIRE (State)","LNU","CEMENT","00002630",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1221.471,NA,NA,NA,"00000236",NA,"1990-1999",8038846.4921875,12072.1027946505,-121.99744456187,38.3003214743694,NA
9934,1992,"CA","CDF CAL FIRE (State)","RRU","BANNING","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1196.536,NA,NA,NA,"00000000",NA,"1990-1999",7044322.4296875,12221.8875628464,-116.872366774047,33.8859581580615,NA
9938,1992,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1038.906,NA,NA,NA,"00000000",NA,"1990-1999",6116045.56640625,10602.32857142,-116.887275091473,33.8840590046463,NA
9943,1992,"CA","CDF CAL FIRE (State)","LNU","WOODEN","00003537",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",836.0052,NA,NA,NA,"00000368",NA,"1990-1999",5505671.0078125,9068.87185533105,-122.124153460946,38.3247969316426,NA
9951,1992,"CA","CDF CAL FIRE (State)","MMU","LE GRAND","00006554",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",658.4167,NA,NA,NA,"00000389",NA,"1990-1999",4211852.8203125,11844.081968084,-120.199712226314,37.2411302809873,NA
9952,1992,"CA","CDF CAL FIRE (State)","MMU","HORNITOS","00008332",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",654.3932,NA,NA,NA,"00000530",NA,"1990-1999",4210816.046875,10244.5905088106,-120.089421339542,37.4638531724445,NA
9955,1992,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",590.3924,NA,NA,NA,"00000000",NA,"1990-1999",3510287.78125,10759.012841328,-117.143866721046,34.3076985615716,NA
9959,1992,"CA","CDF CAL FIRE (State)","LNU","JENKINS","00003015",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",547.8884,NA,NA,NA,"00000297",NA,"1990-1999",3648723.8359375,10954.06973432,-122.122719568636,38.729735375367,NA
9962,1992,"CA","CDF CAL FIRE (State)","MMU","MCCABE","00007656",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",490.9594,NA,NA,NA,"00000472",NA,"1990-1999",3131632.55859375,8789.89702281077,-121.109400549602,37.1317676338459,NA
9963,1992,"CA","BLM Bureau of Land Management","CCD"," ","00000000",NA,NA,"Unknown/Unidentified","Unknown","Suppression (Wildfire)",467.597,NA,NA,NA,"0000D252",NA,"1990-1999",3229327.87109375,10715.6028539904,-120.119655161918,40.0094445945444,NA
9965,1992,"CA","USF U.S. Forest Service","LPF"," ","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",431.0327,NA,NA,NA,"00000041",NA,"1990-1999",2577304.8203125,7054.18759758183,-119.760082452828,34.5460116827672,NA
9967,1992,"CA","USF U.S. Forest Service","CNF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",418.5955,NA,NA,NA,"00000005",NA,"1990-1999",2440361.93359375,7089.69522015989,-117.475874633365,33.4608675062139,NA
9973,1992,"CA","CDF CAL FIRE (State)","MMU","JORDAN","00006554",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",365.2539,NA,NA,NA,"00000389",NA,"1990-1999",2336098.171875,9035.55535548139,-120.210980706414,37.234289375544,NA
9982,1992,"CA","CDF CAL FIRE (State)","MMU","LUIS","00003744",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",299.1812,NA,NA,NA,"00000169",NA,"1990-1999",1905710.09375,5373.20961043351,-121.073589245043,37.0787571907057,NA
9985,1992,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",286.8362,NA,NA,NA,"00000000",NA,"1990-1999",1699188.4375,5278.68090609475,-117.190373098595,34.1516779252534,NA
9986,1992,"CA","CDF CAL FIRE (State)","RRU","ORANGE","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",268.2064,NA,NA,NA,"00000000",NA,"1990-1999",1576775.78125,5986.81193849241,-117.270000507281,33.8251409033386,NA
9992,1992,"CA","USF U.S. Forest Service","INF"," ","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",247.8362,NA,NA,NA,"00005321",NA,"1990-1999",1574438.6875,8500.08901671317,-118.307389976257,36.9763110375272,NA
9996,1992,"CA","CDF CAL FIRE (State)","MMU","URRUTIA","00014942",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",232.2579,NA,NA,NA,"00000000",NA,"1990-1999",1476673.84375,4740.12546413991,-119.7673780142,37.00749144141,NA
9997,1992,"CA","USF U.S. Forest Service","LPF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",212.7552,NA,NA,NA,"00000998",NA,"1990-1999",1326360.06640625,4810.59678248761,-121.764112744831,36.2437256504039,NA
9998,1992,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",212.7342,NA,NA,NA,"00000000",NA,"1990-1999",1263443.5390625,4752.56978178189,-117.463429192639,34.2604915330056,NA
9999,1992,"CA","USF U.S. Forest Service","LPF"," ","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",210.7198,NA,NA,NA,"00000008",NA,"1990-1999",1308827.05078125,5405.80747345366,-121.392975676173,36.0976926509236,NA
10000,1992,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",204.5334,NA,NA,NA,"00000000",NA,"1990-1999",1206925.203125,4443.2062192474,-117.010106905139,33.9851584956131,NA
