"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
12005,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",2192.756,NA,NA,NA,"00000000",NA,"1980-1989",12799061.7304688,18889.4221784021,-117.023764307696,33.5139886520968,NA
12011,1981,"CA","CDF CAL FIRE (State)","RRU","RECHE","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1733.279,NA,NA,NA,"00000000",NA,"1980-1989",10224440.5625,22679.4811216237,-117.208529407718,33.9708290861985,NA
12024,1981,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1180.415,NA,NA,NA,"00000000",NA,"1980-1989",7010986.72265625,14306.8022967133,-117.439961393538,34.2630139112933,NA
12026,1981,"CA","CDF CAL FIRE (State)","RRU","MICHEAL","00011331",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1153.627,NA,NA,NA,"00000629",NA,"1980-1989",6778172.1875,13221.8623269947,-117.275834675469,33.7999408622213,NA
12027,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1123.767,NA,NA,NA,"00000000",NA,"1980-1989",6554642.95703125,12013.5306581445,-116.784109425301,33.4822570138131,NA
12034,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",915.2014,NA,NA,NA,"00000000",NA,"1980-1989",5363954.37109375,10595.8083262063,-117.228791857838,33.6924197784502,NA
12050,1981,"CA","CDF CAL FIRE (State)","RRU","RECHE","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",617.5944,NA,NA,NA,"00000000",NA,"1980-1989",3645913.31640625,8404.45035014366,-116.600665659761,34.0035773714307,NA
12065,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",470.7158,NA,NA,NA,"00000000",NA,"1980-1989",2774560.65625,6719.1548003701,-116.657109869336,33.9376393309314,NA
12067,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",465.3822,NA,NA,NA,"00000000",NA,"1980-1989",2726193.34375,6893.43562037457,-117.239175728095,33.670282728628,NA
12072,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",434.871,NA,NA,NA,"00000000",NA,"1980-1989",2553047.2578125,7294.57797689771,-116.582303692373,33.7652149478438,NA
12073,1981,"CA","CDF CAL FIRE (State)","RRU","CHERRY","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",427.8531,NA,NA,NA,"00000000",NA,"1980-1989",2503887.52734375,7391.59180089147,-116.176853493199,33.6275332936978,NA
12090,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",339.9421,NA,NA,NA,"00000000",NA,"1980-1989",1996325.88671875,5626.45710124139,-117.397105459218,33.7779712025197,NA
12095,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",293.5581,NA,NA,NA,"00000000",NA,"1980-1989",1721552,5593.70683630341,-117.354493091104,33.7181286882186,NA
12096,1981,"CA","CDF CAL FIRE (State)","RRU","CHERRY","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",286.3904,NA,NA,NA,"00000000",NA,"1980-1989",1685720.01953125,6186.75662178566,-117.196393915282,33.8773716091055,NA
12099,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",278.6526,NA,NA,NA,"00000000",NA,"1980-1989",1626481.0234375,6554.27360021638,-117.114710854547,33.5137991763815,NA
12100,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",276.6656,NA,NA,NA,"00000000",NA,"1980-1989",1619891.09375,5608.71377371768,-117.116048124372,33.6486592199894,NA
12114,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",226.4604,NA,NA,NA,"00000000",NA,"1980-1989",1333316.3359375,4714.64132785693,-116.758075066184,33.8886629908893,NA
12124,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",180.3258,NA,NA,NA,"00000000",NA,"1980-1989",1056633.91015625,5078.52551080871,-117.352815273302,33.6822622558115,NA
12128,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",175.1039,NA,NA,NA,"00000000",NA,"1980-1989",1025666.87109375,4350.90117378245,-117.14951053157,33.6666460619486,NA
12129,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",167.8523,NA,NA,NA,"00000000",NA,"1980-1989",979977.8671875,4396.92329272295,-117.092283172942,33.524167307601,NA
12131,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",163.7424,NA,NA,NA,"00000000",NA,"1980-1989",965929.8828125,3972.11585794151,-116.830380891296,33.9721625215855,NA
12138,1981,"CA","NPS National Park Service","YNP","","00000086",NA,NA,"Lightning","Unknown","Resource Benefit (Wildland Fire Use)",126.5321,NA,NA,NA,"00000086",NA,"1980-1989",820161.53125,3681.65064137675,-119.386155680167,37.7377784711892,NA
12139,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",125.359,NA,NA,NA,"00000000",NA,"1980-1989",734965.36328125,4254.16695816295,-117.228762792668,33.7066784541643,NA
12140,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",123.8887,NA,NA,NA,"00000000",NA,"1980-1989",729748.51171875,3769.84736908923,-116.973690765851,33.9085422763714,NA
12161,1981,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",83.09032,NA,NA,NA,"00000000",NA,"1980-1989",490173.6953125,2851.91780085585,-117.429787315619,33.9736432716574,NA
12170,1981,"CA","USF U.S. Forest Service","CNF","OUTSIDE ORIGIN #4","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",56.12231,NA,NA,NA,"00000030",NA,"1980-1989",322853.39453125,2320.13435143594,-116.964773835302,32.8708977936697,NA
12195,1981,"CA","NPS National Park Service","YNP","","00000076",NA,NA,"Lightning","Unknown","Resource Benefit (Wildland Fire Use)",27.71963,NA,NA,NA,"00000076",NA,"1980-1989",179156.234375,1957.5563708949,-119.518303442639,37.6297805385789,NA
12209,1981,"CA","USF U.S. Forest Service","ENF"," ","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",17.44623,NA,NA,NA,"000066A2",NA,"1980-1989",115692.58984375,1226.23425442988,-120.348174819967,38.5763159851258,NA
12221,1981,"CA","NPS National Park Service","YNP","","00000142",NA,NA,"Lightning","Unknown","Resource Benefit (Wildland Fire Use)",11.25405,NA,NA,NA,"00000142",NA,"1980-1989",72792.61328125,996.166122750417,-119.573975465631,37.658584857443,NA
12227,1981,"CA","NPS National Park Service","YNP"," ",NA,NA,NA,"Unknown/Unidentified","Unknown","Resource Benefit (Wildland Fire Use)",8.946252,"000000000YNP-148",NA,NA,NA,NA,"1980-1989",58069.94140625,855.399797771072,-119.658732498563,37.7903014421692,NA
