"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
8384,1999,"CA","NPS National Park Service","YNP","LECONTE","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",8855.949,NA,NA,NA,"00000117",NA,"1990-1999",57716133.7382812,51938.381623425,-119.64985252228,37.9401919670033,NA
8399,1999,"CA","BLM Bureau of Land Management","CCD"," ","00000000",NA,NA,"Unknown/Unidentified","Unknown","Suppression (Wildfire)",3625.127,NA,NA,NA,"0000D271",NA,"1990-1999",24895452.9414062,31421.8728294092,-120.088710957352,39.8152052161427,NA
8402,1999,"CA","CCO Contract County","VNC","SLOAN","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",3441.407,NA,NA,NA,"00000000",NA,"1990-1999",20498813.84375,18745.6006450243,-119.18737995295,34.3846363685203,NA
8416,1999,"CA","NPS National Park Service","YNP","ELEANOR","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",2573.794,NA,NA,NA,"00000113",NA,"1990-1999",16804565.4726562,22500.3808097055,-119.841941765223,38.0076115220643,NA
8435,1999,"CA","CDF CAL FIRE (State)","SCU","MODESTO ENERGY #2","00003749",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",1200.434,NA,NA,NA,"00000350",NA,"1990-1999",7740768.99609375,15901.0069031115,-121.297064202731,37.5434593882203,NA
8436,1999,"CA","CDF CAL FIRE (State)","SCU","MALECH","00003297",NA,NA,"Equipment Use",NA,"Suppression (Wildfire)",1200.192,NA,NA,NA,"00000297",NA,"1990-1999",7672801.21875,13775.5958621031,-121.71286269318,37.2175786339034,NA
8443,1999,"CA","NPS National Park Service","YNP","LOST VALLEY","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",889.362,NA,NA,NA,"00000202",NA,"1990-1999",5767708.72265625,11885.1038678961,-119.47044512605,37.7572080629788,NA
8445,1999,"CA","NPS National Park Service","YNP","DARK","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",865.5844,NA,NA,NA,"00000077",NA,"1990-1999",5624986.15234375,13585.3642771506,-119.611503978821,37.8333165066152,NA
8467,1999,"CA","CDF CAL FIRE (State)","SCU","CAR","00003738",NA,NA,"Vehicle",NA,"Suppression (Wildfire)",450.0672,NA,NA,NA,"00000346",NA,"1990-1999",2914608.70703125,7237.86467301549,-121.677065749553,37.7037427743586,NA
8502,1999,"CA","NPS National Park Service","YNP","CHIL","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",177.8274,NA,NA,NA,"00000076",NA,"1990-1999",1148228.5078125,5212.46066869339,-119.549446403485,37.5939542958928,NA
8518,1999,"CA","CDF CAL FIRE (State)","SCU","FORUS","00001987",NA,NA,"Equipment Use",NA,"Suppression (Wildfire)",129.3662,NA,NA,NA,"00000140",NA,"1990-1999",839266.89453125,4743.48744802346,-121.646506870813,37.7704719212689,NA
8522,1999,"CA","CDF CAL FIRE (State)","SCU","DYER","00001895",NA,NA,"Powerline",NA,"Suppression (Wildfire)",116.0035,NA,NA,NA,"00000128",NA,"1990-1999",752603.38671875,3484.19095154492,-121.690396507043,37.7718482600152,NA
8524,1999,"CA","NPS National Park Service","YNP","LOST BEAR BURNO","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",113.1907,NA,NA,NA,"00000071",NA,"1990-1999",731660.05078125,6355.99475889955,-119.556729901101,37.6344487166046,NA
8531,1999,"CA","CDF CAL FIRE (State)","SCU","GREENRIDGE","00002360",NA,NA,"Powerline",NA,"Suppression (Wildfire)",100.0275,NA,NA,NA,"00000192",NA,"1990-1999",649311.703125,4476.15409039353,-121.728217769301,37.7923386258141,NA
8556,1999,"CA","CDF CAL FIRE (State)","SCU","MODESTO ENERGY","00003643",NA,NA,"Powerline",NA,"Suppression (Wildfire)",49.78308,NA,NA,NA,"00000340",NA,"1990-1999",321089.546875,2410.71210838592,-121.305288916963,37.551998729077,NA
8564,1999,"CA","NPS National Park Service","YNP","LECONTE (SPOT)","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",38.93429,NA,NA,NA,"00000117",NA,"1990-1999",253859.640625,2004.79155168583,-119.643872618852,37.9571852844931,NA
8573,1999,"CA","NPS National Park Service","YNP","PATE","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",28.29228,NA,NA,NA,"00000111",NA,"1990-1999",184198,2219.87501906474,-119.633918259221,37.902180830723,NA
8578,1999,"CA","NPS National Park Service","YNP","VERNON","00000000",NA,NA,"Lightning",NA,"Suppression (Wildfire)",26.23312,NA,NA,NA,"00000133",NA,"1990-1999",171190.40625,1774.92050774925,-119.724487198085,37.988555381263,NA
