"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
11484,1984,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1977.285,NA,NA,NA,"00000000",NA,"1980-1989",11750022.859375,23285.3940029089,-117.554753498051,34.2850055675241,NA
11487,1984,"CA","CDF CAL FIRE (State)","SLU","RANCHO ARROYO/JE","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1680.464,NA,NA,NA,"00000000",NA,"1980-1989",10206987.765625,16737.0517408634,-120.392460982867,35.1967595460697,NA
11491,1984,"CA","CCO Contract County","ORC","LOMA RIDGE","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1434.941,NA,NA,NA,"00000000",NA,"1980-1989",8421840.80859375,31520.5445257437,-117.738277082062,33.7527206046283,NA
11492,1984,"CA","CDF CAL FIRE (State)","SLU","RANCHO ARROYO","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1369.647,NA,NA,NA,"00000000",NA,"1980-1989",8313279.74609375,17035.0109364033,-120.381515800017,35.1680066953321,NA
11500,1984,"CA","CCO Contract County","ORC","MODJESKA","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1017.581,NA,NA,NA,"00000000",NA,"1980-1989",5966913.234375,28897.7568845246,-117.636571978912,33.7136172497336,NA
11501,1984,"CA","CDF CAL FIRE (State)","SLU","BONNHEIM","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1012.26,NA,NA,NA,"00000000",NA,"1980-1989",6224950.9140625,11101.9099543757,-120.917174176065,35.6992947420199,NA
11514,1984,"CA","NPS National Park Service","YNP","","00005942",NA,NA,"Lightning","Other Imagery","Resource Benefit (Wildland Fire Use)",737.9767,NA,NA,NA,"00005942",NA,"1980-1989",4789923.00390625,10594.6487621984,-119.60307871536,37.7882113735577,NA
11522,1984,"CA","NPS National Park Service","LNP","BADGER PNF",NA,NA,NA,"Lightning","Hand-drawn","Resource Benefit (Wildland Fire Use)",567.6793,NA,NA,NA,"",NA,"1980-1989",3982755.359375,10164.4437391185,-121.40586299858,40.5460946030059,NA
11529,1984,"CA","NPS National Park Service","LNP","BADGER WF",NA,NA,NA,"Lightning","Hand-drawn","Suppression (Wildfire)",498.6496," PNF spot fire became WF",NA,NA,"",NA,"1980-1989",3500224.40625,11479.0791930537,-121.412181204794,40.5631684407521,NA
11530,1984,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",490.4986,NA,NA,NA,"00000000",NA,"1980-1989",2920359.46484375,7992.64360860188,-117.0902821283,34.365834229941,NA
11535,1984,"CA","CCO Contract County","ORC","COAL CYN.","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",449.602,NA,NA,NA,"00000000",NA,"1980-1989",2645737.40234375,10771.1583432553,-117.683092961539,33.8666122897447,NA
11537,1984,"CA","CDF CAL FIRE (State)","SLU","SWIFT LE-7","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",426.1745,NA,NA,NA,"00000000",NA,"1980-1989",2593842.43359375,8343.96531370625,-120.7740576112,35.2804192449398,NA
11541,1984,"CA","CDF CAL FIRE (State)","SLU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",392.8939,NA,NA,NA,"00000000",NA,"1980-1989",2385833.73828125,7740.18666749829,-120.775918445925,35.1869966354438,NA
11560,1984,"CA","USF U.S. Forest Service","LNF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",228.4144,NA,NA,NA,"00000119",NA,"1980-1989",1604890.65625,5285.58244051289,-120.706649722241,40.5958978892761,NA
