"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length","Lon","Lat","TEMPERATURE_2M_ALARM_DATE"
10543,1988,"CA","CDF CAL FIRE (State)","SNU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,NA,11380.36,NA,NA,NA,"00000000",NA,"1980-1989",75886366.2695312,38003.412463924,-122.861742648699,38.7760275302787,NA
10553,1988,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",5243.982,NA,NA,NA,"00000000",NA,"1980-1989",31082288.9765625,28100.106907721,-117.474868593928,34.1756341628307,NA
10555,1988,"CA","USF U.S. Forest Service","BDF"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",4357.64,NA,NA,NA,"00000000",NA,"1980-1989",25826545.1210938,26635.6069197347,-117.514899307769,34.1720261942263,NA
10569,1988,"CA","CCO Contract County","ORC","ORTEGA","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",2471.109,NA,NA,NA,"00000000",NA,"1980-1989",14421518.484375,16839.2290818802,-117.603701013792,33.5070900072399,NA
10572,1988,"CA","BLM Bureau of Land Management","NOD"," ","00000000",NA,NA,"Unknown/Unidentified","Unknown","Suppression (Wildfire)",2054.816,NA,NA,NA,"0000D417",NA,"1980-1989",14510555.1132812,19050.8892303297,-120.499424199454,40.7651877404086,NA
10573,1988,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1896.849,NA,NA,NA,"00000000",NA,"1980-1989",11177771.15625,16649.4643356967,-117.081806937712,33.9264712876474,NA
10579,1988,"CA","CDF CAL FIRE (State)","RRU","GILMAN","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1482.813,NA,NA,NA,"00000000",NA,"1980-1989",8722773.140625,23404.6304474596,-116.968501546542,33.851665716398,NA
10586,1988,"CA","CDF CAL FIRE (State)","RRU"," ","00000000",NA,NA,"Unknown/Unidentified",NA,"Suppression (Wildfire)",1043.188,NA,NA,NA,"00000000",NA,"1980-1989",6153353.66796875,10809.0055835064,-117.062644202869,33.9686947349681,NA
10608,1988,"CA","USF U.S. Forest Service","INF"," ","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",614.9384,NA,NA,NA,"00005323",NA,"1980-1989",3903667.8671875,11899.0162535652,-118.298617245895,36.9480335110274,NA
10610,1988,"CA","USF U.S. Forest Service","LPF"," ","00000000",NA,NA,"Miscellaneous",NA,"Suppression (Wildfire)",592.0198,NA,NA,NA,"00000020",NA,"1980-1989",3571338.58203125,8395.81270798177,-119.725191828969,34.9147059935983,NA
